Size	Latency (us)	np	Algorithm
512	6.25	16	scatter_basic_linear
1024	7.23	16	scatter_basic_linear
2048	10.47	16	scatter_basic_linear
4096	14.03	16	scatter_basic_linear
8192	23.16	16	scatter_basic_linear
16384	29.39	16	scatter_basic_linear
32768	62.16	16	scatter_basic_linear
65536	127.37	16	scatter_basic_linear
131072	270.24	16	scatter_basic_linear
262144	533.93	16	scatter_basic_linear
524288	1112.16	16	scatter_basic_linear
1048576	1772.93	16	scatter_basic_linear
2	1.79	16	scatter_binomial
4	1.73	16	scatter_binomial
8	1.74	16	scatter_binomial
16	1.71	16	scatter_binomial
32	2.21	16	scatter_binomial
64	2.18	16	scatter_binomial
128	3.59	16	scatter_binomial
256	3.93	16	scatter_binomial
512	4.21	16	scatter_binomial
1024	4.64	16	scatter_binomial
2048	6.51	16	scatter_binomial
4096	8.95	16	scatter_binomial
8192	13.26	16	scatter_binomial
16384	30.6	16	scatter_binomial
32768	50.69	16	scatter_binomial
65536	96.77	16	scatter_binomial
131072	170.82	16	scatter_binomial
262144	329.62	16	scatter_binomial
524288	600.24	16	scatter_binomial
1048576	1110.33	16	scatter_binomial
2	2.14	32	broadcast_flat
4	2.02	32	broadcast_flat
8	2.03	32	broadcast_flat
16	2.06	32	broadcast_flat
32	2.49	32	broadcast_flat
64	2.51	32	broadcast_flat
128	3.83	32	broadcast_flat
256	3.69	32	broadcast_flat
512	4.26	32	broadcast_flat
1024	4.73	32	broadcast_flat
2048	6.46	32	broadcast_flat
4096	9.85	32	broadcast_flat
8192	16.15	32	broadcast_flat
16384	27.65	32	broadcast_flat
32768	49.0	32	broadcast_flat
65536	108.5	32	broadcast_flat
131072	232.08	32	broadcast_flat
262144	506.79	32	broadcast_flat
524288	1086.48	32	broadcast_flat
1048576	2001.71	32	broadcast_flat
2	2.98	32	broadcast_chain
4	2.74	32	broadcast_chain
8	2.76	32	broadcast_chain
16	2.77	32	broadcast_chain
32	3.59	32	broadcast_chain
64	3.56	32	broadcast_chain
128	5.03	32	broadcast_chain
256	4.84	32	broadcast_chain
512	5.57	32	broadcast_chain
1024	6.01	32	broadcast_chain
2048	8.79	32	broadcast_chain
4096	12.25	32	broadcast_chain
8192	19.23	32	broadcast_chain
16384	50.66	32	broadcast_chain
32768	86.41	32	broadcast_chain
65536	166.16	32	broadcast_chain
131072	297.85	32	broadcast_chain
262144	533.23	32	broadcast_chain
524288	870.59	32	broadcast_chain
1048576	1626.55	32	broadcast_chain
2	3.54	32	broadcast_binary_tree
4	2.68	32	broadcast_binary_tree
8	2.62	32	broadcast_binary_tree
16	2.65	32	broadcast_binary_tree
32	3.21	32	broadcast_binary_tree
64	4.03	32	broadcast_binary_tree
128	5.2	32	broadcast_binary_tree
256	5.0	32	broadcast_binary_tree
512	5.27	32	broadcast_binary_tree
1024	5.9	32	broadcast_binary_tree
2048	8.36	32	broadcast_binary_tree
4096	11.03	32	broadcast_binary_tree
8192	15.98	32	broadcast_binary_tree
16384	36.57	32	broadcast_binary_tree
32768	57.22	32	broadcast_binary_tree
65536	100.47	32	broadcast_binary_tree
131072	192.19	32	broadcast_binary_tree
262144	344.24	32	broadcast_binary_tree
524288	665.82	32	broadcast_binary_tree
1048576	1120.1	32	broadcast_binary_tree
2	2.7	32	scatter_flat
4	2.52	32	scatter_flat
8	2.57	32	scatter_flat
16	2.51	32	scatter_flat
32	2.91	32	scatter_flat
64	2.88	32	scatter_flat
128	4.13	32	scatter_flat
256	4.0	32	scatter_flat
512	4.3	32	scatter_flat
1024	4.66	32	scatter_flat
2048	7.35	32	scatter_flat
4096	10.28	32	scatter_flat
8192	16.28	32	scatter_flat
16384	27.78	32	scatter_flat
32768	51.34	32	scatter_flat
65536	110.28	32	scatter_flat
131072	232.53	32	scatter_flat
262144	519.15	32	scatter_flat
524288	1115.24	32	scatter_flat
1048576	2050.56	32	scatter_flat
2	5.03	32	scatter_basic_linear
4	4.9	32	scatter_basic_linear
8	4.88	32	scatter_basic_linear
16	5.95	32	scatter_basic_linear
32	6.54	32	scatter_basic_linear
64	5.78	32	scatter_basic_linear
128	12.33	32	scatter_basic_linear
256	11.89	32	scatter_basic_linear
512	12.22	32	scatter_basic_linear
1024	14.59	32	scatter_basic_linear
2048	20.59	32	scatter_basic_linear
4096	26.93	32	scatter_basic_linear
8192	42.48	32	scatter_basic_linear
16384	53.24	32	scatter_basic_linear
32768	67.5	32	scatter_basic_linear
65536	171.16	32	scatter_basic_linear
131072	431.05	32	scatter_basic_linear
262144	924.85	32	scatter_basic_linear
524288	2037.85	32	scatter_basic_linear
1048576	3830.31	32	scatter_basic_linear
2	2.97	32	scatter_binomial
4	2.86	32	scatter_binomial
8	2.87	32	scatter_binomial
16	2.84	32	scatter_binomial
32	3.46	32	scatter_binomial
64	3.47	32	scatter_binomial
128	4.89	32	scatter_binomial
256	4.7	32	scatter_binomial
512	5.29	32	scatter_binomial
1024	5.88	32	scatter_binomial
2048	8.49	32	scatter_binomial
4096	12.06	32	scatter_binomial
8192	19.28	32	scatter_binomial
16384	54.77	32	scatter_binomial
32768	96.12	32	scatter_binomial
65536	162.36	32	scatter_binomial
131072	306.42	32	scatter_binomial
262144	460.27	32	scatter_binomial
524288	874.15	32	scatter_binomial
1048576	1616.77	32	scatter_binomial
2	2.46	64	broadcast_flat
4	1.91	64	broadcast_flat
8	1.86	64	broadcast_flat
16	1.88	64	broadcast_flat
32	2.52	64	broadcast_flat
64	2.4	64	broadcast_flat
128	4.06	64	broadcast_flat
256	3.55	64	broadcast_flat
512	4.69	64	broadcast_flat
1024	4.87	64	broadcast_flat
2048	8.11	64	broadcast_flat
4096	12.6	64	broadcast_flat
8192	21.01	64	broadcast_flat
16384	38.88	64	broadcast_flat
32768	70.87	64	broadcast_flat
65536	147.17	64	broadcast_flat
131072	334.4	64	broadcast_flat
262144	750.79	64	broadcast_flat
524288	1403.79	64	broadcast_flat
1048576	2518.3	64	broadcast_flat
2	6.19	64	broadcast_chain
4	5.99	64	broadcast_chain
8	7.0	64	broadcast_chain
16	9.24	64	broadcast_chain
32	8.04	64	broadcast_chain
64	7.97	64	broadcast_chain
128	10.55	64	broadcast_chain
256	9.81	64	broadcast_chain
